RewardSize,AnimalResponse,ToneCloudDurSec,LickwrtTrialStart,ITIinseconds
1,1,1.82,NaN,1.82
1,1,3.02,NaN,3.153684
1,1,1.68,NaN,2.931708
1,1,2.74,NaN,2.851714
1,1,5.26,NaN,2.989706
1,1,0.74,NaN,2.977703
1,1,2.08,NaN,2.275772
1,1,1.34,NaN,3.171684
1,1,0.46,NaN,2.69573
1,1,0.7,NaN,3.47165
1,1,1.8,NaN,3.19168
1,1,0.04,NaN,3.153685
1,1,1.36,NaN,3.13369
1,1,2.98,NaN,2.85372
1,1,5.26,NaN,3.361666
1,1,1.92,NaN,3.371665
1,0,1.26,3.74202576,2.61374
1,0,2.76,3.7616238,3.95561
1,2,1.406648338,1.39026096,2.85372
1,2,11.1212197,11.1098889,14.93851
1,3,14,NaN,14.27258
1,1,1.38,NaN,2.55774
1,1,3.38,NaN,2.9537
1,1,2.74,NaN,2.88971
1,1,2.62,NaN,2.35376
1,1,5.34,NaN,2.79172
1,1,0.54,NaN,3.27568
1,2,3.730067484,3.71439519,2.71173
1,1,2.14,NaN,14.29857
1,1,0.28,NaN,3.42965
1,1,0.2,NaN,3.37366
1,1,1.66,NaN,3.15369
1,1,2.04,NaN,3.39367
1,1,9.88,NaN,3.13167
1,0,2.66,3.91910805,2.77772
1,0,0.42,0.72762723,2.63975
1,0,1.86,2.29337064,5.05551
1,2,0.145963509,0.13295337,2.23375
1,2,6.265433643,6.25197474,14.33657
1,0,8.54,9.63640293,14.15658
1,2,0.386903274,0.37106289,2.95371
1,0,0.72,1.29727026,14.67653
1,2,1.001749563,0.98763456,2.54975
1,1,0.54,NaN,14.7425
1,1,1.48,NaN,2.82971
1,3,14,NaN,2.57172
1,1,0.08,NaN,2.63571
1,1,3.78,NaN,3.41365
1,3,14,NaN,2.79572
1,1,4.1,NaN,2.83773
1,1,9.56,NaN,2.7717
1,1,0.44,NaN,2.3358
1,1,3.04,NaN,3.10966
1,1,4.4,NaN,2.63577
1,1,2,NaN,2.83576
1,1,0.18,NaN,2.5718
1,1,4.14,NaN,3.23371
1,1,0.1,NaN,2.60966
1,0,4.66,7.35799746,2.99169
2,0,0.18,1.6615005,3.1916
2,2,1.11572107,1.09605705,14.13861
2,0,1.72,1.73625969,3.39766
2,2,0.535866034,0.52051461,14.47656
2,2,1.453636591,1.4401893,2.7937
2,0,3.26,3.73076022,14.43854
2,2,0.620844789,0.60820584,14.4965
2,0,1.82,2.1807819,2.29577
2,2,0.123969008,0.11025564,16.27838
2,2,0.030992252,0.01929807,3.2916
2,2,1.813546614,1.80145317,14.2966
2,1,2.06,NaN,14.3186
2,0,2.5,3.30373626,14.37456
2,1,3.58,NaN,3.31965
2,0,3.04,3.53094687,2.2758
2,2,4.546863285,4.52684727,2.6978
2,2,0.982754312,0.96570342,3.1377
2,2,0.601849538,0.59014098,14.54056
2,3,14,NaN,14.35254
2,2,0.529867533,0.51608172,14.39453
2,0,0.1,0.6622671,2.79173
2,2,0.615846039,0.59814018,14.4786
2,2,4.61984504,4.60190643,3.11776
2,0,0.04,0.50188314,14.7285
2,2,0.280929768,0.26367363,14.59857
2,0,0.2,0.94827183,2.89173
2,0,1.32,1.63886943,14.54055
2,2,2.000499875,1.98456819,5.8974
2,0,0.46,0.9672366,4.55353
2,2,7.81204699,7.79442048,14.25659
2,1,2.88,NaN,3.09765
2,0,0.46,1.08059193,14.6405
2,2,0.344913772,0.32616738,2.87574
2,2,11.01424644,11.00219967,2.51774
2,0,0.76,1.45672098,14.8185
2,2,0.565858535,0.55211145,14.4806
2,0,1.98,2.28990432,2.3738
2,2,0.388902774,0.37392927,14.3406
2,0,0.46,1.13918607,4.9696
2,2,0.413896526,0.40172649,14.5805
2,0,6.28,6.83904936,3.1296
2,0,1.06,1.543179,14.2585
2,2,0.48187953,0.46612005,2.9137
2,0,5.1,5.79502044,3.1537
2,2,0.543864034,0.52651401,16.1165
2,0,6.3,8.47028622,2.7956
2,2,2.495376156,2.48148516,14.9805
2,0,2.38,2.70066324,2.7317
2,0,0.6,0.71852814,14.6385
2,2,1.799550113,1.78698795,2.7757
2,0,1.64,2.09988999,2.7918
2,2,2.23244189,2.21737824,14.3366
2,2,2.681329668,2.66833314,2.2318
2,0,2.12,2.6314035,14.8525
2,2,1.926518371,1.91150883,14.2125
2,2,5.780554862,5.76792315,2.4557
2,0,7.42,7.93293996,14.2746
2,2,2.245438641,2.2281105,14.4985
2,2,1.726568358,1.71502848,2.6536
2,0,6.76,7.27030623,14.4306
1,0,1.18,1.17551577,14.4566
1,3,14,NaN,2.9317
1,0,2.52,3.42812382,3.0917
1,0,5.34,6.64823511,3.2936
1,0,3.92,4.42149114,3.2356
1,0,0.82,2.70536277,2.8898
1,3,14,NaN,3.0157
1,0,0.96,2.07052626,3.1198
1,1,8.1,NaN,2.1737
1,1,7.76,NaN,2.5516
1,1,4.54,NaN,3.2757
1,1,2.12,NaN,2.8878
1,1,7.82,NaN,3.3097
1,3,14,NaN,2.9737
1,1,1.86,NaN,2.1178
1,1,8.78,NaN,2.7538
1,1,3.24,NaN,3.4337
1,1,8.98,NaN,3.1517
1,1,6.08,NaN,3.2298
1,1,0.38,NaN,2.6377
1,1,0.34,NaN,2.6178
1,3,14,NaN,2.4377
1,1,4.84,NaN,2.4117
1,1,7.78,NaN,2.8097
1,0,1.34,2.52658065,2.6337
1,0,3,4.99456716,2.9557
1,0,1.58,1.74542544,2.9317
1,1,10.4,NaN,3.1318
1,0,4.88,7.18258167,2.7497
1,1,5.06,NaN,2.4138
1,0,2.42,3.70599603,3.2718
1,0,5.1,5.50461615,2.7557
1,2,0.053986503,0.04156251,2.9717
1,1,1.08,NaN,4.2535
1,1,1.16,NaN,14.2227
1,0,3.9,5.32760052,2.8737
1,3,14,NaN,2.5117
1,3,14,NaN,3.1718
1,1,0.4,NaN,3.0137
1,1,2.94,NaN,2.3117
1,3,14,NaN,3.3717
1,3,14,NaN,3.3156
1,1,9.94,NaN,2.6297
1,1,8.24,NaN,2.3598
1,1,1.3,NaN,2.4917
1,1,0.86,NaN,2.6518
1,1,0.98,NaN,2.4139
1,1,1.78,NaN,2.8956
1,1,5.46,NaN,2.6798
1,1,3.82,NaN,3.1957
1,1,1.16,NaN,2.6937
1,3,14,NaN,2.3117
1,0,0.04,2.68069857,3.6377
1,2,2.011497126,1.99693362,3.1356
1,2,2.787303175,2.77095621,3.2737
1,0,3.18,4.10395623,14.2785
1,0,1.9,2.16391692,14.5966
1,2,2.650337416,2.63713626,2.3497
1,1,1.34,NaN,3.2097
1,3,14,NaN,14.5746
2,1,1.64,NaN,3.0716
2,1,4.88,NaN,2.7097
2,0,3.66,4.84054923,2.6357
2,2,1.446638341,1.43598972,2.6777
2,2,1.489627593,1.47505248,2.3516
2,0,4.14,4.19894673,14.2727
2,2,1.138715321,1.12448754,14.6165
2,0,0.26,1.14945171,2.4719
2,2,2.053486629,2.04026262,14.6186
2,2,1.033741565,1.01753157,2.8118
2,0,3.06,3.99453384,14.6546
2,0,4.3,4.35176478,14.6565
2,2,1.27668083,1.25890743,2.5818
2,0,0.42,1.5205146,3.3557
2,2,1.316670833,1.30546944,14.5126
2,0,0.18,1.39299402,2.288
2,2,0.565858535,0.5506116,14.3784
2,2,5.472631843,5.46348693,2.6358
2,2,5.642589354,5.62940367,14.2886
2,0,8.06,10.32636726,14.5386
2,2,3.315171208,3.30016995,14.5386
2,2,2.008497876,1.9954671,3.1758
2,0,3.16,4.16908305,14.3764
2,2,0.327918021,0.31446855,15.0343
2,2,3.385153712,3.36633,3.0535
2,0,1.24,3.30090321,14.3784
2,2,1.5996001,1.58647467,14.7743
2,1,1.08,NaN,2.5957
2,0,1.06,1.89291069,14.5707
2,2,2.982254437,2.9677032,2.9377
2,0,3.54,4.0199313,3.1138
2,0,1.42,2.01036561,14.8186
2,1,1.74,NaN,2.4117
2,2,2.126468383,2.11168881,3.1197
2,0,2,4.91924136,2.7138
2,2,6.804298927,6.79282065,14.8366
2,0,1.8,1.99870011,3.5117
2,2,2.802299426,2.7887211,14.7164
2,0,4.38,5.27453916,2.7517
2,2,1.451637091,1.43295669,14.9347
2,2,0.901774557,0.88784454,2.5138
2,0,3.58,4.4465553,14.6145
2,0,0.72,1.48565142,14.3926
2,2,0.392901775,0.37439589,3.0117
2,2,4.201949513,4.18331496,4.9575
2,0,0.16,1.31693496,14.5987
2,0,0.88,1.34909841,14.3165
2,2,0.787803049,0.77308935,2.8539
2,2,1.565608598,1.55391126,2.4555
2,0,2.54,3.09582372,14.4725
2,2,0.349912522,0.33366663,14.2366
2,0,6.32,7.34866506,2.7098
2,2,1.318670333,1.30330299,15.0186
2,0,0.5,1.2595407,2.1338
2,2,3.1972007,3.1790154,14.7385
2,1,5.36,NaN,2.2979
2,1,5.14,NaN,14.2925
2,0,3.98,4.37292933,2.6936
2,2,1.324668833,1.31060226,2.7517
2,1,10.72,NaN,2.9716
1,0,1.7,2.57860878,14.8186
1,2,1.246688328,1.23181014,2.5718
1,0,5.38,7.15821744,2.4717
